FacilityName                                                   ,City                 ,END
Ashburn Community Elem School                                  ,Chicago              ,
Ashe Elem School                                               ,Chicago              ,
Ashkum Early Literacy Center                                   ,Ashkum               ,
Ashley CCSD 15                                                 ,Ashley               ,
Ashley Com Consolidated School                                 ,Ashley               ,
Ashmore Elem School                                            ,Ashmore              ,
Ashton-Franklin Center CUSD 275                                ,Ashton               ,
Ashton-Franklin Center Elem Sch                                ,Franklin Grove       ,
Ashton-Franklin Center HS                                      ,Ashton               ,
Asian Human Services -Passage Chrtr                            ,Chicago              ,
ASP2 STEAM Academy Inc                                         ,Belleville           ,
ASPIRA Antonia Pantoja Alt H S                                 ,Chicago              ,
Aspira Charter - Bus and Fin                                   ,Chicago              ,
Aspira Charter - Business and Finance HS                       ,Chicago              ,
ASPIRA Charter - Early College Pr                              ,Chicago              ,
ASPIRA Charter - Early College Prep HS                         ,Chicago              ,
ASPIRA Charter - Haugan Campus                                 ,Chicago              ,
Aspire Alternative High School                                 ,Effingham            ,
ASSIST RSSP 12                                                 ,Willow Hill          ,
ASSIST TAOEP 12                                                ,Willow Hill          ,
Associated Talmud Torahs                                       ,Skokie               ,
Association for Individual Dev.                                ,Aurora               ,
Astoria CUSD 1                                                 ,Astoria              ,
Astoria Elem School                                            ,Astoria              ,
Astoria High School                                            ,Astoria              ,
Astoria Junior High School                                     ,Astoria              ,
Athens CUSD 213                                                ,Athens               ,
Athens Junior High School                                      ,Athens               ,
Athens Sr High School                                          ,Athens               ,
Attea Middle School                                            ,Glenview             ,
ATT-P Tach Special Education Prog                              ,Skokie               ,
Atwood Heights SD 125                                          ,Alsip                ,
Atwood-Hammond Grade School                                    ,Atwood               ,
Auburn CUSD 10                                                 ,Auburn               ,
Auburn Elem School                                             ,Auburn               ,
Auburn High School                                             ,Rockford             ,
Auburn High School                                             ,Auburn               ,
Auburn Jr High at Divernon                                     ,Divernon             ,
Auburn Middle School                                           ,Auburn               ,
Audubon Elem School                                            ,Chicago              ,
Augustus Tolton Catholic Academy                               ,Chicago              ,
Aurora Central Catholic High Sch                               ,Aurora               ,
AURORA CENTRAL CATHOLIC HIGH SCHOOL                            ,AURORA               ,
Aurora Christian Schools - Cornerstone Campus                  ,Sycamore             ,
Aurora Christian Schools Inc                                   ,Aurora               ,
Aurora East USD 131                                            ,Aurora               ,
Aurora Montessori School                                       ,Aurora               ,
Aurora Seventh-Day Adventist Sch                               ,North Aurora         ,
Aurora West USD 129                                            ,Aurora               ,
Ausome Foundation & Circles BCS                                ,Normal               ,
Austin Career Education Center                                 ,Chicago              ,
Austin College and Career Acad HS                              ,Chicago              ,
Austin College and Career Academy High School                  ,Chicago              ,
Autumn Creek Elem Sch                                          ,Yorkville            ,
Aux Sable                                                      ,Minooka              ,
Aux Sable Middle Sch                                           ,Joliet               ,
Avalon Park Elem School                                        ,Chicago              ,
Avery Coonley School                                           ,Downers Grove        ,
Avis Huff Student Support Services Center                      ,Kankakee             ,
Aviston Elem School                                            ,Aviston              ,
Aviston SD 21                                                  ,Aviston              ,
Avoca SD 37                                                    ,Wilmette             ,
Avoca West Elem School                                         ,Glenview             ,
Avon Center Elem School                                        ,Round Lake Beach     ,
Avon Elem Sch                                                  ,Avon                 ,
Avondale - Logandale Elementary School                         ,Chicago              ,
Azuela Elem School                                             ,Chicago              ,
B H R A Cooperative HS                                         ,Bismarck             ,
B J Hooper Elem School                                         ,Lindenhurst          ,
Baby Fold                                                      ,Normal               ,
Back of The Yards IB HS                                        ,Chicago              ,
Bais Yaakov High Sch of Chicago                                ,Chicago              ,
Baker Demonstration School                                     ,Wilmette             ,
Ball Chatham CUSD 5                                            ,Chatham              ,
Ball Elementary School                                         ,Chatham              ,
Balmoral Elem Sch                                              ,Crete                ,
Bancroft Schools & Communities                                 ,Haddonfield          ,
Banner Elementary School                                       ,Dunlap               ,
Banner Learning Corp.                                          ,Boca Raton           ,
Bannockburn School                                             ,Bannockburn          ,
Bannockburn SD 106                                             ,Bannockburn          ,
Barack H Obama Learning Academy                                ,Markham              ,
Barack Obama Sch of Leadership and STEM                        ,Chicago Heights      ,
Barbara A Sizemore Campus                                      ,Chicago              ,
Barbara B Rose Elem School                                     ,South Barrington     ,
Barbereux School                                               ,Evanston             ,
Barbour Two-Way Lang Immersion                                 ,Rockford             ,
Barnard Elem Comp Math & Sci Ctr                               ,Chicago              ,
Barnsdale Road School                                          ,La Grange Park       ,
Barrington CUSD 220                                            ,Barrington           ,
Barrington Early Learning Center                               ,Barrington           ,
Barrington High School                                         ,Barrington           ,
Barrington Mdle Sch- Prairie Cmps                              ,Barrington           ,
Barrington Middle Sch Station                                  ,Barrington           ,
Barry Elem School                                              ,Chicago              ,
Bartelso Elem School                                           ,Bartelso             ,
Bartelso SD 57                                                 ,Bartelso             ,
Bartlett Elem School                                           ,Bartlett             ,
Bartlett High School                                           ,Bartlett             ,
Barton Elem School                                             ,Chicago              ,
Bartonville Elem School                                        ,Bartonville          ,
Bartonville SD 66                                              ,Bartonville          ,
Bass Elem School                                               ,Chicago              ,
Batavia Sr High School                                         ,Batavia              ,
Batavia USD 101                                                ,Batavia              ,
Bateman Elem School                                            ,Chicago              ,
